Timestamp,Gender?,Age?,What kind of experience do you have with robots?,What kind of experience do you have with drones (as the one shown above)?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?
4/8/2017 17:48:40,Male,22,My brother has a Roomba but thats pretty much it,Own a cheap one,Fly,That its using propellers to fly,0,,fly,fly,0,,fly,fly,0,,fly,fly,0,"At this point im aware that its different movements facing that camera is to acknowledge my presence, but without the following questions, i wouldnt have guessed it"
4/11/2017 21:27:47,Male,21,"Roomba, drones",Own some,Slow twich ,Waving/ signaling presence ,8,,Rotate towards me,Watching / checking ,7,,Moved towards me ,Looked like I was in the way ,3,,Rapid twich ,Attention ,9,
4/11/2017 22:12:32,Male,19,"Computer Engineering student, made my own flight controller",Own a QX95 and F450,"Fly past me from left to right, looking at me at some point",It noticed my presents,7,,Same as last time but without the wiggle,"It noticed me, but didn't try to communicate/signal something",8,,Flew closer,It flew more towards me. I would take a step back in such scenario,6,,It looks like it nodded up,"It wanted to back off, or look up.",6,
4/11/2017 23:13:04,Male,20,Seen many in person ,"Build them, fly them, film aerial shots with them",Did a slow fly by,It's going somewhere ,3,,Pointed at the camera ,It possibly mapped the position of the camera (if its autonomous),5,,Flew closer than it should have,It's stupid ,5,,Same thing as in the 2nd video ,It noticed a figure there,7,
4/12/2017 5:03:11,Male,32,Neato botvac,Own many,"Hovered, rolled left and right","Hello, wave",6,,"Hovered, yawed",Is aware of my presence,3,,"Hovered, pitched forward",Knod,5,,"Hovered, pitched back",What's up?,5,
4/19/2017 11:12:10,Male,30,Limited experienc,I have seen them,look at me and wobble,It noticed me,8,,Look in a direction ,It noticed something to its right,4,,"looked at me and ""nodded""","It saw something, maybe me",8,,look and nod,it noticed me,9,
4/19/2017 15:49:07,Female,26,research robots,seen them being used,"Turned toward me, wiggled?",drone acknowledging that there's a person there,8,,Looked at me,"It was gauging distance, making sure it doesn't run into me",5,,Nodded at me,It was acknowledging that i was there,8,,"Looked at me, wiggled (?)",Acknowledging that I'm there?,7,
4/19/2017 19:51:15,Male,30,none,bought one and built another,turned to face me and dipped its arms in a brief gesture,"it acknowledged me, possibly a greeting?",9,,rotated to point in my general direction,"not sure, possibly part of its obstacle recognition process?",1,,Turned to face me and dipped its front briefly,It acknowledged me and performed a greeting,8,"The front dip seems to imply more respect than the roll ""wave"" which is more cheerful and implies it is a peer",Turned to face me and raised its front briefly,it possibly acknowledged me and performed a gesture that might be a greeting,5,In my culture this gesture would be used between friends and would seem weird for a stranger to do this
4/19/2017 21:09:50,Male,28,"FIRST robotics, MiniQuads",Own a LOT of drones.,hovered/ flew towards the camera with a little ossilation,it was controlled by a person,1,,"flew towards user, yaw'd right a bit",noticed an object near the drone camera ,7,,"flew towards user, nodded when it noticed an object",it registered that a person was in the way and automated a response. ,9,,"saw a person, nodded",human like..,8,
4/19/2017 21:33:33,Male,15,Robot Vacuum,"I own multiple, 2 racing and 1 aerial photography",Shake from left to right,It seems that it noticed I was there.,7,Didn't feel completely natural but was pretty good,Turned on the yaw axis towards me.,That it noticed something(me) is there,3,"Less realistic, would be more realistic if the camera, or eye, pointed towards me.",Pitched towards me.,That it noticed that I was there,7,Feels the same as the first video in how it acknowledged me however I think this was a more serious 'greeting' compared to the first more playful 'greeting',It pitched forward and back.,It knew that something was there.,6,Slightly less realistic than the last in my opinion.
