Timestamp,Gender?,Age?,What kind of experience do you have with robots?,What kind of experience do you have with drones (as the one shown above)?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?
4/8/2017 20:45:39,Male,52,none,none,acknowledge my presence,that it considers my presence as relevant,10,It came a bit too close at the end.,It nodded to me.,It seemed to show respect.,10,,It wiggled.,It did not mean anything.,10,,It looked to my left.,It seemed to be assessing the situation.,5,
4/8/2017 21:20:01,Male,30,"Quad copters, 3D  printers",Lots,"Moved at about 2m altitude from the car left to the lower right of the frame, adjusted path slightly on route approximately halfway across the room",Approach for landing,3,Would be somewhat alarming if it saw it coming... And I was moving too. ,Flew at a greater angle across the room relative to the viewpoint. ,It's not going to not me,2,It didn't adjust its path,It's yawed to the right (it's right) and come close to the camera ,It's passing by on the viewers right ,2,,Same path but it appeared to look at the viewer and pass by unimpeded ,The quad has seen the obstacle ahead and is assessing it,6,It didn't slow down whilst assessing but kept going on its path 
4/9/2017 18:23:32,Male,20,Maybe  smartphones,heard about them,flew in a small room,it can work in a small area,3,No,same to the first one,drones can fly?,3,no,shake when it flying? ,Don't know,3,No,turning direction?,drones can turn direction when it flys,2,no
4/9/2017 21:17:07,Male,23,Basically none,Heard about them,Fly by,Its busy,4,"The indication that it knew i was there was not very obvious, and could easily have been overseen.","Fly by, nodded at me",Hello?,8,Felt like it nodded at me.,Fly by; shook,"Its out of control, strong wind, some error.",2,I did not see it as a acknowledgement of my presence.,"Fly by, spinning slightly.","Scanning room, looking around, confused about direction.",1,"When it spins past you it's like it does'nt ""see you"""
4/11/2017 4:17:39,Male,40,None,Fly racing drone,It looked like it was flying at me then turned at the Last minute,It saw me some how,8,,It twitched when it turned towards me,It acknowledged that i was there,7,,It looked like it waned maybe,It saw me,9,,Flew in my direction then turned the other way,"It saw me but kind of ignored me,  just brushed me off like in some scifi movie",3,
4/11/2017 9:26:01,Male,21,"Roomba, some pocket drones and stuff we do in Engineering class","Own some small ones, and have a friend who's got a big Phantom",Turned to the camera and gave some kind of nod,The drone noticed the camera/cameraman,10,,"Same thing as the previous one, without changing its trajectory","Acknowledged presence of the camera(man) without being ""distracted"" by it",10,,"Same thing but instead of just a nod, the whole body wiggled",Same thing as the previous one,10,,"This time it just turned and didn't nod nor wiggled, but it turned a bit too much","Probably saw the camera, but as it turned too much we can't be sure",6,
4/19/2017 19:25:38,Male,35,Arduino Robot,"Bought one, built one, have two total",Scanned me for some kind of information,violated my personal space and was overly intrusive.,10,Creepy,Scanned me somehow,It scanned me somehow,10,"Flew way too close to someone, violated personal space, overall creepy","""Rocked it's wings at me""",It acknowledge me somehow,10,"Still creepy, invasive, dangerously close to someone",Adjusted it's yaw back and forth,Tried to tell me to look left or right,7,"Too close, still creepy, still invasive"
4/19/2017 19:36:39,Male,22,RC vehicles,Phantom and custom built ones,Nod to me,acknowledge i am there,10,Friendly quad saying hello,Quick pitch backwards,Wanted to slow down a little,7,,Wiggle wiggle wiggle,Saying hello,10,I do this to acknowledge other people when i see them ,slide by,looking around,5,
4/19/2017 19:47:08,Male,15,"Roomba, Drone","Own one, but am shit at flying it",fly towards the camera,it can be flown,0,,fly towards and past the camera,it can turn,1,it sort of turned at the camera briefly,fly towards and past the camera,it can turn,2,it turned towards the camera for quite a while,fly past and turn at the camera,it acknowledged the camera,6,spooky
4/19/2017 20:14:30,Male,17,Lots of experience building and flying miniquads,Own one,It came towards me and pitched forwards and back before yawing and continuing past,It's like saying hello,9,,It pitched upwards briefly before continuing off,"It felt like someone tilting thier head up, like a casual greeting.",9,"This felt kind of informal but friendly, like a casual interaction",It rolled back and forth when pointing at me,It felt like a someone waving.,10,"A lot of quad pilots including myself use this to acknoledge someone we're flying towards, like kids etc.",It yawed away and then back,It looks like an accidental movement,2,
