Timestamp,Gender?,Age?,What kind of experience do you have with robots?,What kind of experience do you have with drones (as the one shown above)?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?,What did the drone just do?,What does that mean/indicate to you?,To what degree did you feel that the drone acknowledged your presence?,Any additional comments?
4/8/2017 19:43:45,Female,22,Roomba,Heard about them and seen some fly. ,"

The drone fly, stops up, pointing my way and then fly around me.",Acknowledge my present.,8,,"The drone fly, pauses, nods and flies around. ","It's was like the drone ""said"": Hey.",9,,"The drone is flying, stops, looks up and fly.",It just looked like the drone was affected by the wind. ,1,,"The drone fly, stops and wiggling, before it flies. ","Not sure, but it looked funny.",1,
4/9/2017 0:23:45,Male,20,Arudino/RPi etc.,none,It looked at me,It detected me as an obstacle,10,,it nodded in my direction ,it says hi,10,,it tilted back,I don't know (looked like a provocative nodding) ,8,,it shook from one side to the other,i don't know,10,
4/10/2017 11:08:07,Male,25,"Some experience, my mother loves her Roomba. She calls it Robert and she's close to letting it inherit everything.... Eeeeeeverything. ",A once tested something for a university group which revolved around drones. ,The drones flew autonomously and noticed the individual filming. ,"That there is a presence of A.I. in the drone. It goes about its business, but is programmed to notice the environment. ",8,Nah. Peace. ,"As with the first video, the drone flew autonomously, and noticed the individual filming. However, this time the drone acknowledged the humand and greeted it. ",A more courteous A.I.!,9,Nah. Peace. ,"Haha. The drone literally said ""Sup"" to the individual filming. ",That the programmer of the code has embodied the A.I. with some personality. ,9,Nah. Peace.... Like the drone kind of said. ,The drone flew and wobbled at the sight of the individual filming. ,"Well, it is meant as a greeting, but I don't really think it works. Two and three were better at greeting. ",6,Nah. Peace. 
4/11/2017 0:22:32,Male,27,quadcopters only,building and flying,hovered across a room and looked at a subject,it seems to have spotted someone then changed direction,10,,hovered across the room and nodded,"it seems to have noticed me with a ""head tilt""",10,,tilted nose up,seems the drone noticed me with an up tilt motion,10,,tilted side to side upon notice,seems like a waving gesture,8,
4/18/2017 13:26:55,Male,25,no experience,"saw them in action before, used by a photographer",the drone flew by the camera.,not anything in particular. ,0,The sound was overwhelming. After the questions it made sense that the drone was probably sensed a persons presence. ,flew by and detected the person filming and flew towards it. and then continued it's trajectory.  ,That it had sensors that could detect individual people. ,8,8 out of 10 because it was a video.,flew and seems it just looked at the camera.,"detected presence but wasn't relevant for the ""task"" it was performing.",8,8 out of 10 because it was filmed.,"detected the person, did a little dance and continued the trajectory. ",maybe the drone tried to communicate something to the person it detected.,8,8 out of 10 because it was filmed. 
4/18/2017 19:23:59,Female,34,"Roomba, toys","Know about them, heard of them holding cameras",It had to readjust its flying,Cross wind,2,I thought it was going to make a delivery,It jumped.,It was adjusting flying.,3,Noise seemed louder.,It nodded.,"It got new infomation, orders perhaps.",2,I thought it may be on a new mission.,It shook at me.,It detected me,6,Reminds me of scifi.
4/19/2017 19:33:14,Male,18,Participated in a robotics club all throughout my education.,Have flown multicopters for the past year.,"Flew forward, looked at the camera, and continued",It shows that the drone was looking at its surroundings and observing,5,,"The drone flew towards the camera, acknowledged it with a nod, and continued on its way.","It shows that the drone acknowledged that someone was there, and nodded to show a human like confirmation.",9,,"The drone flew towards the camera, but this time did a down and then up motion with itself to show there was someone there.","This show of confirmation looks a lot less natural, and therefore is much more obvious and less friendly.",9,,"The drone flew towards the camera, doing a left right motion before continuing on.","This shows that it saw us there, maybe  even did this to receive more information on the subject.",10,
4/19/2017 20:08:03,Male,35,Not much,Own several,"Briefly pointed at the camera / viewer, then a quick roll wave",Acknowledge or investigate the presence of a person,9,,"Briefly turn to camera and ""nod"" (brief pitch down & up)",Acknowledge the camera / viewer,10,,Turn to viewer and pitch briefly up then down (reverse nod?),"Acknowledgement, but action does not match a normal human motion such as a nod or wave",7,"The drone was further away than previous 2 clips, although still much closer than I would normally feel comfortable with. ","Turn to viewer and briefly ""wave"" (quick oscillation in roll) before continuing)",Acknowledge the viewer,9,"Maybe the ""wave"" in the first video was unintentional then?"
4/19/2017 22:58:26,Male,26,minimal experiance ,Fly drones regularly ,Yawed right to look at the camera (me),The drone knew of my presence and would likely avoid me.,10,,pitched forward quickly and faced the camera,"Felt agresssive, assume it is another means to signal to me that the drone sees I am there.",7,As a drone pilot I never like seeing props coming toward me like that.  The flick of the craft caused my heart to jump.,"addressed camera and pitched back, much like nodding ""whats up""","This drones cool yo, chillest drone of them all. ",10,"Dope, use this one. Props facing away from was much better.","rolled left and right, kind of imitating a wave",Friendly drone knows I am there,10,
4/19/2017 23:44:47,Male,21,"Limited. Most of my work has been on the software end. For hardware, I have built a simple track robot (not from kit) and used the mindstorms platform.","Flew freestyle for 3 years, professionally for last 6 months. Contributed to numerous hardware design products for drone components.","Low speed, low altitude close flyby. Drone was self-stabilized (auto-levels with relationship to the ground).","In terms of a delivery/automation aspect, a quad should never get that close to someone for safety reasons. Unless you've got a professional race/freestyle pilot flying, the distance would even be sketchy for controlled flight. Large CF props can cut to the bone, and people are dumb.",2,I'd consider getting prop guards or moving to a larger space.,"Approached, stuttered, then continued",Slip on the controller,5,Less stable than #1,"Approach, nod back, continue","This one is better than #2 because, by tilting back, the approach is slowed. Make it less aggressive than a ""nod down"" which accelerates the quad slightly towards you.",6,,"Approach, wiggle, proceed",Follow me (From aircraft interception standard protocols_,9,
